Old,New
/introtoharmony,/intro-to-harmony
/front-matter/music-examples,/front-matter/statement-on-spotify-usage
/basic-notation,/notation-of-notes-clefs-and-ledger-lines
/intervals-and-dyads,/intervals
/triads-2,/triads
/galant-schemata-the-rule-of-the-octave-and-harmonising-the-scale-with-sequences,/rule-of-the-octave
/galant-schemata-continuation-patterns,/galant-schemas-template-scores
/galant-schemata-summary,/galant-schemas-summary
/part/harmony,/part/diatonic-harmony
/embellishing-tones-2,/embellishing-tones
/beginnings-1-prolonging-tonic-with-inverted-v7s,/inverted-v7s
/beginnings-2-prolongation-using-the-leading-tone-chord,/leading-tone-chord
/6-4-chords-as-prolongations,/64-chords-as-prolongations
/la-scale-degree-6-in-the-bass-at-beginnings-middles-and-endings,/la-in-the-bass
/mi-scale-degree-3-in-the-bass-at-beginnings,/mi-in-the-bass
/pre-dominant-seventh-chords,/predominant-seventh-chords
/triadic-post-tonality,/chromaticism
/modal-mixture,/modal-mixture-alt
/modal-mixture-2,/modal-mixture
/neapolitan-6th-bii6-in-progress,/bii6
/augmented-sixth-chords-in-progress,/augmented-sixth-chords
/common-tone-chords-ct7-ct6,/common-tone-chords
/post-tonal-triadic-progressions,/neo-riemannian-triadic-progressions
/syncopation-in-pop-rock-music,/rhythm-and-meter-in-pop-music
/aaba-form,/aaba-and-strophic-form
/pop-rock-schemas,/intro-to-pop-schemas
/atonal-intervals,/intervals-in-integer-notation
/normal-order,/pc-sets-normal-order-and-transformations
/common-tones-under-transposition-open-music-theory,/common-tones-under-transposition
/analyzing-a-post-tonal-piece-from-scratch-open-music-theory,/analyzing-a-post-tonal-piece-from-scratch
/analyzing-atonal-music-open-music-theory,/analyzing-atonal-music
/twelve-tone-theory-basics-open-music-theory,/basics-of-twelve-tone-theory
/naming-convention,/naming-conventions-for-rows
/composing-with-12-tones,/composing-with-twelve-tones
/history-and-context,/history-and-context-of-serialism
/introduction-and-core-principles,/core-principles-of-orchestration
/twelve-tone-music-intervallic-structure-open-music-theory,/intervallic-structure-in-twelve-tone-rows
/twelve-tone-music-operations-open-music-theory,/row-operations
/twelve-tone-music-invariance-open-music-theory,/invariance
/analyzing-12-tone-music-open-music-theory,/analyzing-twelve-tone-music
/diatonic-sequences-in-middles-in-progress-no-examples-yet,diatonic-sequences
/anthology-12-tone,/anthology-twelve-tone
/keyboard-style-voice-leading-schemata,/keyboard-style-voice-leading-schemas
/galant-schemata-opens-and-closes,/galant-schemas-opens-and-closes
/galant-schemata-continuation-patterns-2,/galant-schemas-continuation-patterns
